cod;classes;bandas;value;comp_onda
2;agua;Blue;0,01844625;0,48
2;agua;Blue;0,015875;0,48
2;agua;Blue;0,01604;0,48
2;agua;Blue;0,01539375;0,48
2;agua;Blue;0,01575125;0,48
2;agua;Blue;0,01616375;0,48
2;agua;Blue;0,0172775;0,48
2;agua;Blue;0,0155725;0,48
2;agua;Blue;0,0153525;0,48
2;agua;Blue;0,01718125;0,48
2;agua;Blue;0,0171675;0,48
2;agua;Blue;0,01723625;0,48
2;agua;Blue;0,01687875;0,48
2;agua;Blue;0,0173875;0,48
2;agua;Blue;0,01599875;0,48
2;agua;Blue;0,01704375;0,48
2;agua;Blue;0,016535;0,48
2;agua;Blue;0,0173875;0,48
2;agua;Blue;0,01877625;0,48
2;agua;Blue;0,01698875;0,48
2;agua;Blue;0,01707125;0,48
2;agua;Blue;0,01726375;0,48
2;agua;Blue;0,017415;0,48
2;agua;Blue;0,01747;0,48
2;agua;Blue;0,01751125;0,48
2;agua;Blue;0,0165625;0,48
2;agua;Blue;0,01571;0,48
2;agua;Blue;0,01692;0,48
2;agua;Blue;0,016755;0,48
2;agua;Blue;0,01729125;0,48
2;agua;Blue;0,01759375;0,48
2;agua;Blue;0,017195;0,48
2;agua;Blue;0,01797875;0,48
2;agua;Blue;0,0189;0,48
2;agua;Blue;0,01751125;0,48
2;agua;Blue;0,01833625;0,48
2;agua;Blue;0,01803375;0,48
2;agua;Blue;0,016315;0,48
2;agua;Blue;0,0150775;0,48
2;agua;Blue;0,01637;0,48
2;agua;Blue;0,017195;0,48
2;agua;Blue;0,0174425;0,48
2;agua;Blue;0,0165625;0,48
2;agua;Blue;0,01775875;0,48
2;agua;Blue;0,0172775;0,48
2;agua;Blue;0,01726375;0,48
2;agua;Blue;0,01907875;0,48
2;agua;Blue;0,01817125;0,48
2;agua;Blue;0,015765;0,48
2;agua;Blue;0,0191475;0,48
2;agua;Blue;0,0159025;0,48
2;agua;Blue;0,01736;0,48
2;agua;Blue;0,01891375;0,48
2;agua;Blue;0,01723625;0,48
2;agua;Blue;0,01679625;0,48
2;agua;Blue;0,01901;0,48
2;agua;Blue;0,0176075;0,48
2;agua;Blue;0,01775875;0,48
2;agua;Blue;0,01773125;0,48
2;agua;Blue;0,0195325;0,48
2;agua;Blue;0,01795125;0,48
2;agua;Blue;0,0281675;0,48
2;agua;Blue;0,026985;0,48
2;agua;Blue;0,028195;0,48
2;agua;Blue;0,02336875;0,48
2;agua;Blue;0,02430375;0,48
2;agua;Blue;0,030065;0,48
2;agua;Blue;0,028525;0,48
2;agua;Blue;0,02378125;0,48
2;agua;Blue;0,02688875;0,48
2;agua;Blue;0,0243175;0,48
2;agua;Blue;0,024015;0,48
2;agua;Blue;0,0238225;0,48
2;agua;Blue;0,026325;0,48
2;agua;Blue;0,0303675;0,48
2;agua;Blue;0,02785125;0,48
2;agua;Blue;0,0234375;0,48
2;agua;Blue;0,024015;0,48
2;agua;Blue;0,0228325;0,48
2;agua;Blue;0,025225;0,48
2;agua;Blue;0,02468875;0,48
2;agua;Blue;0,02512875;0,48
2;agua;Blue;0,02408375;0,48
2;agua;Blue;0,02429;0,48
2;agua;Blue;0,0243175;0,48
2;agua;Blue;0,0253075;0,48
2;agua;Blue;0,02748;0,48
2;agua;Blue;0,0255;0,48
2;agua;Blue;0,0275625;0,48
2;agua;Blue;0,0247575;0,48
2;agua;Blue;0,02418;0,48
2;agua;Blue;0,0256925;0,48
2;agua;Blue;0,02699875;0,48
2;agua;Blue;0,02034375;0,48
2;agua;Blue;0,02037125;0,48
2;agua;Blue;0,02033;0,48
2;agua;Blue;0,0138125;0,48
2;agua;Blue;0,02061875;0,48
2;agua;Blue;0,023135;0,48
2;agua;Blue;0,02224125;0,48
2;agua;Blue;0,023905;0,48
2;agua;Blue;0,0241525;0,48
2;agua;Blue;0,02484;0,48
2;agua;Blue;0,0304775;0,48
2;agua;Blue;0,031385;0,48
2;agua;Blue;0,03274625;0,48
2;agua;Blue;0,034355;0,48
2;agua;Blue;0,03065625;0,48
2;agua;Blue;0,0321;0,48
2;agua;Blue;0,03299375;0,48
2;agua;Blue;0,03480875;0,48
2;agua;Blue;0,031165;0,48
2;agua;Blue;0,03236125;0,48
2;agua;Blue;0,0342725;0,48
2;agua;Blue;0,0355375;0,48
2;agua;Blue;0,03095875;0,48
2;agua;Blue;0,03098625;0,48
2;agua;Blue;0,03315875;0,48
2;agua;Blue;0,03447875;0,48
2;agua;Blue;0,02606375;0,48
2;agua;Blue;0,0265175;0,48
2;agua;Blue;0,02661375;0,48
2;agua;Blue;0,02614625;0,48
2;agua;Blue;0,019175;0,48
2;agua;Blue;0,0271225;0,48
2;agua;Blue;0,02592625;0,48
2;agua;Blue;0,0216775;0,48
2;agua;Blue;0,02462;0,48
2;agua;Blue;0,0249775;0,48
2;agua;Blue;0,0467025;0,48
2;agua;Blue;0,071535;0,48
2;agua;Blue;0,01954625;0,48
2;agua;Blue;0,0283325;0,48
2;agua;Blue;0,0481325;0,48
2;agua;Blue;0,0238225;0,48
2;agua;Blue;0,01951875;0,48
2;agua;Blue;0,02793375;0,48
2;agua;Blue;0,02737;0,48
2;agua;Blue;0,0203025;0,48
2;agua;Blue;0,02587125;0,48
2;agua;Blue;0,0216775;0,48
2;agua;Blue;0,02295625;0,48
2;agua;Blue;0,02077;0,48
2;agua;Blue;0,015215;0,48
2;agua;Blue;0,0227775;0,48
2;agua;Blue;0,02661375;0,48
2;agua;Blue;0,0144725;0,48
2;agua;Blue;0,019725;0,48
2;agua;Blue;0,02741125;0,48
